Algoritm,N,Tip_Date,Secunde_Medie
BubbleSort,1000,nearly_sorted,0.00540050
InsertionSort,1000,nearly_sorted,0.00052135
SelectionSort,1000,nearly_sorted,0.00481753
MergeSort,1000,nearly_sorted,0.00029445
QuickSort,1000,nearly_sorted,0.00043249
BubbleSort,1000,flat,0.00894351
InsertionSort,1000,flat,0.00341336
SelectionSort,1000,flat,0.00487105
MergeSort,1000,flat,0.00024565
QuickSort,1000,flat,0.00007570
BubbleSort,5000,random,0.23101160
InsertionSort,5000,random,0.08787792
SelectionSort,5000,random,0.12020729
MergeSort,5000,random,0.00212183
QuickSort,5000,random,0.00213805
BubbleSort,5000,sorted,0.00010555
InsertionSort,5000,sorted,0.00009934
SelectionSort,5000,sorted,0.11983253
MergeSort,5000,sorted,0.00120631
QuickSort,5000,sorted,0.00340488
BubbleSort,5000,reverse_sorted,0.27603354
InsertionSort,5000,reverse_sorted,0.17765780
SelectionSort,5000,reverse_sorted,0.12647207
MergeSort,5000,reverse_sorted,0.00134374
QuickSort,5000,reverse_sorted,0.00429009
BubbleSort,5000,nearly_sorted,0.13855230
InsertionSort,5000,nearly_sorted,0.01162810
SelectionSort,5000,nearly_sorted,0.12933802
MergeSort,5000,nearly_sorted,0.00156715
QuickSort,5000,nearly_sorted,0.00213448
BubbleSort,5000,flat,0.22778819
InsertionSort,5000,flat,0.07877013
SelectionSort,5000,flat,0.11741982
MergeSort,5000,flat,0.00168353
QuickSort,5000,flat,0.00046566
MergeSort,10000,random,0.00333024
QuickSort,10000,random,0.00600864
MergeSort,10000,sorted,0.00275840
QuickSort,10000,sorted,0.00870658
MergeSort,10000,reverse_sorted,0.00260060
QuickSort,10000,reverse_sorted,0.00885052
MergeSort,10000,nearly_sorted,0.00327404
QuickSort,10000,nearly_sorted,0.00536590
MergeSort,10000,flat,0.00396274
QuickSort,10000,flat,0.00068754
MergeSort,50000,random,0.02313597
QuickSort,50000,random,0.03005503
MergeSort,50000,sorted,0.01378603
QuickSort,50000,sorted,0.09910670
MergeSort,50000,reverse_sorted,0.01936477
QuickSort,50000,reverse_sorted,0.07355217
MergeSort,50000,nearly_sorted,0.01852887
QuickSort,50000,nearly_sorted,0.03009243
MergeSort,50000,flat,0.01914627
QuickSort,50000,flat,0.00424650
MergeSort,100000,random,0.04693410
QuickSort,100000,random,0.07323020
MergeSort,100000,sorted,0.03276375
QuickSort,100000,sorted,0.26555545
MergeSort,100000,reverse_sorted,0.02896705
QuickSort,100000,reverse_sorted,0.21689640
MergeSort,100000,nearly_sorted,0.04128525
QuickSort,100000,nearly_sorted,0.06741455
MergeSort,100000,flat,0.04037615
QuickSort,100000,flat,0.00687650
MergeSort,500000,random,0.26419620
QuickSort,500000,random,0.31240410
MergeSort,500000,sorted,0.15926280
QuickSort,500000,sorted,2.89145460
MergeSort,500000,reverse_sorted,0.16975460
QuickSort,500000,reverse_sorted,1.89896050
MergeSort,500000,nearly_sorted,0.19447310
QuickSort,500000,nearly_sorted,0.35638820
MergeSort,500000,flat,0.22150700
QuickSort,500000,flat,0.04041020
MergeSort,1000000,random,0.51673150
QuickSort,1000000,random,0.70293370
MergeSort,1000000,sorted,0.34703140
QuickSort,1000000,sorted,7.25399560
MergeSort,1000000,reverse_sorted,0.32638910
QuickSort,1000000,reverse_sorted,5.13986900
MergeSort,1000000,nearly_sorted,0.40641230
QuickSort,1000000,nearly_sorted,0.68966940
MergeSort,1000000,flat,0.46222550
QuickSort,1000000,flat,0.06877620
