Algoritm,N,Tip_Date,Secunde_Medie
BubbleSort,1000,nearly_sorted,0.000670699
InsertionSort,1000,nearly_sorted,0.000027200
SelectionSort,1000,nearly_sorted,0.000308705
MergeSort,1000,nearly_sorted,0.000023169
QuickSort,1000,nearly_sorted,0.000037612
BubbleSort,1000,flat,0.002054556
InsertionSort,1000,flat,0.000136167
SelectionSort,1000,flat,0.000308023
MergeSort,1000,flat,0.000033086
QuickSort,1000,flat,0.000022945
BubbleSort,5000,random,0.058118228
InsertionSort,5000,random,0.003044384
SelectionSort,5000,random,0.006966344
MergeSort,5000,random,0.000384278
QuickSort,5000,random,0.000384716
BubbleSort,5000,sorted,0.000004718
InsertionSort,5000,sorted,0.000007372
SelectionSort,5000,sorted,0.006290728
MergeSort,5000,sorted,0.000095106
QuickSort,5000,sorted,0.000192696
BubbleSort,5000,reverse_sorted,0.088039144
InsertionSort,5000,reverse_sorted,0.005938350
SelectionSort,5000,reverse_sorted,0.006042084
MergeSort,5000,reverse_sorted,0.000055010
QuickSort,5000,reverse_sorted,0.000139278
BubbleSort,5000,nearly_sorted,0.014449842
InsertionSort,5000,nearly_sorted,0.000510432
SelectionSort,5000,nearly_sorted,0.006390408
MergeSort,5000,nearly_sorted,0.000127986
QuickSort,5000,nearly_sorted,0.000165270
BubbleSort,5000,flat,0.053455156
InsertionSort,5000,flat,0.002782676
SelectionSort,5000,flat,0.006493842
MergeSort,5000,flat,0.000215244
QuickSort,5000,flat,0.000109934
BubbleSort,10000,random,0.242772295
InsertionSort,10000,random,0.012282520
SelectionSort,10000,random,0.025732265
MergeSort,10000,random,0.000739540
QuickSort,10000,random,0.000919945
BubbleSort,10000,sorted,0.000008290
InsertionSort,10000,sorted,0.000013665
SelectionSort,10000,sorted,0.025642020
MergeSort,10000,sorted,0.000208695
QuickSort,10000,sorted,0.000488190
BubbleSort,10000,reverse_sorted,0.349352100
InsertionSort,10000,reverse_sorted,0.022354470
SelectionSort,10000,reverse_sorted,0.024225025
MergeSort,10000,reverse_sorted,0.000156400
QuickSort,10000,reverse_sorted,0.000477835
BubbleSort,10000,nearly_sorted,0.061437460
InsertionSort,10000,nearly_sorted,0.002117720
SelectionSort,10000,nearly_sorted,0.025679590
MergeSort,10000,nearly_sorted,0.000298730
QuickSort,10000,nearly_sorted,0.000497125
BubbleSort,10000,flat,0.223189850
InsertionSort,10000,flat,0.010727820
SelectionSort,10000,flat,0.025314165
MergeSort,10000,flat,0.000347340
QuickSort,10000,flat,0.000208845
MergeSort,50000,random,0.003873060
QuickSort,50000,random,0.004565100
MergeSort,50000,sorted,0.001285900
QuickSort,50000,sorted,0.004682180
MergeSort,50000,reverse_sorted,0.000950220
QuickSort,50000,reverse_sorted,0.003693420
MergeSort,50000,nearly_sorted,0.001324980
QuickSort,50000,nearly_sorted,0.003031220
MergeSort,50000,flat,0.003252540
QuickSort,50000,flat,0.000864700
MergeSort,100000,random,0.011641633
QuickSort,100000,random,0.011495100
MergeSort,100000,sorted,0.002464200
QuickSort,100000,sorted,0.011286967
MergeSort,100000,reverse_sorted,0.001423433
QuickSort,100000,reverse_sorted,0.007694500
MergeSort,100000,nearly_sorted,0.002572533
QuickSort,100000,nearly_sorted,0.004403033
MergeSort,100000,flat,0.004423300
QuickSort,100000,flat,0.001485500
MergeSort,500000,random,0.046620800
QuickSort,500000,random,0.047868650
MergeSort,500000,sorted,0.008465300
QuickSort,500000,sorted,0.101559400
MergeSort,500000,reverse_sorted,0.009595400
QuickSort,500000,reverse_sorted,0.081239300
MergeSort,500000,nearly_sorted,0.018524050
QuickSort,500000,nearly_sorted,0.024110500
MergeSort,500000,flat,0.020251450
QuickSort,500000,flat,0.009542500
MergeSort,1000000,random,0.091029700
QuickSort,1000000,random,0.097191300
MergeSort,1000000,sorted,0.024235500
QuickSort,1000000,sorted,0.293419400
MergeSort,1000000,reverse_sorted,0.025870500
QuickSort,1000000,reverse_sorted,0.220115000
MergeSort,1000000,nearly_sorted,0.036797800
QuickSort,1000000,nearly_sorted,0.048359000
MergeSort,1000000,flat,0.048983700
QuickSort,1000000,flat,0.013761400
MergeSort,5000000,random,0.494502100
QuickSort,5000000,random,0.460226600
MergeSort,5000000,sorted,0.123257900
QuickSort,5000000,sorted,3.084756600
MergeSort,5000000,reverse_sorted,0.147245800
QuickSort,5000000,reverse_sorted,2.202511900
MergeSort,5000000,nearly_sorted,0.170190200
QuickSort,5000000,nearly_sorted,0.255694500
MergeSort,5000000,flat,0.225241900
QuickSort,5000000,flat,0.082707800
MergeSort,10000000,random,1.049588300
QuickSort,10000000,random,0.920675900
MergeSort,10000000,sorted,0.245592400
QuickSort,10000000,sorted,8.755952700
MergeSort,10000000,reverse_sorted,0.268710700
QuickSort,10000000,reverse_sorted,6.114266600
MergeSort,10000000,nearly_sorted,0.343085200
QuickSort,10000000,nearly_sorted,0.545771700
MergeSort,10000000,flat,0.458896700
QuickSort,10000000,flat,0.122268000
MergeSort,50000000,random,5.519038000
QuickSort,50000000,random,4.285125000
MergeSort,50000000,sorted,1.427586900
QuickSort,50000000,sorted,96.498509700
MergeSort,50000000,reverse_sorted,1.539876900
QuickSort,50000000,reverse_sorted,73.100616700
MergeSort,50000000,nearly_sorted,1.911438000
QuickSort,50000000,nearly_sorted,2.916897200
MergeSort,50000000,flat,2.503189500
QuickSort,50000000,flat,0.715781600
