Algoritm,N,Tip_Date,Memorie_Extra_Bytes,Memorie_Extra_Lizibil
QuickSort,1000,reverse_sorted,72,72 B
BubbleSort,1000,nearly_sorted,12,12 B
InsertionSort,1000,nearly_sorted,12,12 B
SelectionSort,1000,nearly_sorted,12,12 B
MergeSort,1000,nearly_sorted,4000,3 KB
QuickSort,1000,nearly_sorted,72,72 B
BubbleSort,1000,flat,12,12 B
InsertionSort,1000,flat,12,12 B
SelectionSort,1000,flat,12,12 B
MergeSort,1000,flat,4000,3 KB
QuickSort,1000,flat,72,72 B
BubbleSort,5000,random,12,12 B
InsertionSort,5000,random,12,12 B
SelectionSort,5000,random,12,12 B
MergeSort,5000,random,20000,19 KB
QuickSort,5000,random,96,96 B
BubbleSort,5000,sorted,12,12 B
InsertionSort,5000,sorted,12,12 B
SelectionSort,5000,sorted,12,12 B
MergeSort,5000,sorted,20000,19 KB
QuickSort,5000,sorted,96,96 B
BubbleSort,5000,reverse_sorted,12,12 B
InsertionSort,5000,reverse_sorted,12,12 B
SelectionSort,5000,reverse_sorted,12,12 B
MergeSort,5000,reverse_sorted,20000,19 KB
QuickSort,5000,reverse_sorted,96,96 B
BubbleSort,5000,nearly_sorted,12,12 B
InsertionSort,5000,nearly_sorted,12,12 B
SelectionSort,5000,nearly_sorted,12,12 B
MergeSort,5000,nearly_sorted,20000,19 KB
QuickSort,5000,nearly_sorted,96,96 B
BubbleSort,5000,flat,12,12 B
InsertionSort,5000,flat,12,12 B
SelectionSort,5000,flat,12,12 B
MergeSort,5000,flat,20000,19 KB
QuickSort,5000,flat,96,96 B
BubbleSort,10000,random,12,12 B
InsertionSort,10000,random,12,12 B
SelectionSort,10000,random,12,12 B
MergeSort,10000,random,40000,39 KB
QuickSort,10000,random,104,104 B
BubbleSort,10000,sorted,12,12 B
InsertionSort,10000,sorted,12,12 B
SelectionSort,10000,sorted,12,12 B
MergeSort,10000,sorted,40000,39 KB
QuickSort,10000,sorted,104,104 B
BubbleSort,10000,reverse_sorted,12,12 B
InsertionSort,10000,reverse_sorted,12,12 B
SelectionSort,10000,reverse_sorted,12,12 B
MergeSort,10000,reverse_sorted,40000,39 KB
QuickSort,10000,reverse_sorted,104,104 B
BubbleSort,10000,nearly_sorted,12,12 B
InsertionSort,10000,nearly_sorted,12,12 B
SelectionSort,10000,nearly_sorted,12,12 B
MergeSort,10000,nearly_sorted,40000,39 KB
QuickSort,10000,nearly_sorted,104,104 B
BubbleSort,10000,flat,12,12 B
InsertionSort,10000,flat,12,12 B
SelectionSort,10000,flat,12,12 B
MergeSort,10000,flat,40000,39 KB
QuickSort,10000,flat,104,104 B
MergeSort,50000,random,200000,195 KB
QuickSort,50000,random,120,120 B
MergeSort,50000,sorted,200000,195 KB
QuickSort,50000,sorted,120,120 B
MergeSort,50000,reverse_sorted,200000,195 KB
QuickSort,50000,reverse_sorted,120,120 B
MergeSort,50000,nearly_sorted,200000,195 KB
QuickSort,50000,nearly_sorted,120,120 B
MergeSort,50000,flat,200000,195 KB
QuickSort,50000,flat,120,120 B
MergeSort,100000,random,400000,390 KB
QuickSort,100000,random,128,128 B
MergeSort,100000,sorted,400000,390 KB
QuickSort,100000,sorted,128,128 B
MergeSort,100000,reverse_sorted,400000,390 KB
QuickSort,100000,reverse_sorted,128,128 B
MergeSort,100000,nearly_sorted,400000,390 KB
QuickSort,100000,nearly_sorted,128,128 B
MergeSort,100000,flat,400000,390 KB
QuickSort,100000,flat,128,128 B
MergeSort,500000,random,2000000,1 MB
QuickSort,500000,random,144,144 B
MergeSort,500000,sorted,2000000,1 MB
QuickSort,500000,sorted,144,144 B
MergeSort,500000,reverse_sorted,2000000,1 MB
QuickSort,500000,reverse_sorted,144,144 B
MergeSort,500000,nearly_sorted,2000000,1 MB
QuickSort,500000,nearly_sorted,144,144 B
MergeSort,500000,flat,2000000,1 MB
QuickSort,500000,flat,144,144 B
MergeSort,1000000,random,4000000,3 MB
QuickSort,1000000,random,152,152 B
MergeSort,1000000,sorted,4000000,3 MB
QuickSort,1000000,sorted,152,152 B
MergeSort,1000000,reverse_sorted,4000000,3 MB
QuickSort,1000000,reverse_sorted,152,152 B
MergeSort,1000000,nearly_sorted,4000000,3 MB
QuickSort,1000000,nearly_sorted,152,152 B
MergeSort,1000000,flat,4000000,3 MB
QuickSort,1000000,flat,152,152 B
MergeSort,5000000,random,20000000,19 MB
QuickSort,5000000,random,176,176 B
MergeSort,5000000,sorted,20000000,19 MB
QuickSort,5000000,sorted,176,176 B
MergeSort,5000000,reverse_sorted,20000000,19 MB
QuickSort,5000000,reverse_sorted,176,176 B
MergeSort,5000000,nearly_sorted,20000000,19 MB
QuickSort,5000000,nearly_sorted,176,176 B
MergeSort,5000000,flat,20000000,19 MB
QuickSort,5000000,flat,176,176 B
MergeSort,10000000,random,40000000,38 MB
QuickSort,10000000,random,184,184 B
MergeSort,10000000,sorted,40000000,38 MB
QuickSort,10000000,sorted,184,184 B
MergeSort,10000000,reverse_sorted,40000000,38 MB
QuickSort,10000000,reverse_sorted,184,184 B
MergeSort,10000000,nearly_sorted,40000000,38 MB
QuickSort,10000000,nearly_sorted,184,184 B
MergeSort,10000000,flat,40000000,38 MB
QuickSort,10000000,flat,184,184 B
MergeSort,50000000,random,200000000,190 MB
QuickSort,50000000,random,200,200 B
MergeSort,50000000,sorted,200000000,190 MB
QuickSort,50000000,sorted,200,200 B
MergeSort,50000000,reverse_sorted,200000000,190 MB
QuickSort,50000000,reverse_sorted,200,200 B
MergeSort,50000000,nearly_sorted,200000000,190 MB
QuickSort,50000000,nearly_sorted,200,200 B
MergeSort,50000000,flat,200000000,190 MB
QuickSort,50000000,flat,200,200 B
